"","cd","schooldist","council","zipcode","firecomp","policeprct","healtharea","sanitboro","sanitsub","zonedist1","spdist1","landuse","ext","proxcode","irrlotcode","borocode","edesignum","sanitdistrict","healthcenterdistrict"
"lotarea","12.543352222321,5.04003302623386e-108","18.8888071654376,2.81158457551498e-100","13.3568504512917,8.14150239169892e-105","5.91594068334467,3.28834862677484e-108","4.59988323470843,6.54544451014764e-135","10.3296543953155,9.07825725495198e-109","4.51399153362945,1.35800602507645e-82","85.6028174794524,1.40937919553992e-71","3.06001857854129,2.0694663627815e-10","68.5034275325374,7.86733265123351e-44","211.020635950055,2.57495282904264e-47","161.976153042402,0","10.5620662359702,0.00115825254493913","556.445438908102,1.64603616048085e-229","441.355841003858,7.30674635894891e-96","85.6674226267453,1.2449164076736e-71","50.065586368418,1.58976220689376e-12","13.4053699404329,2.09574106648444e-38","19.4714217846343,1.76082147654398e-97"
"bldgarea","32.2203627950764,3.96413191303404e-310","52.4766947033979,0","35.4269041367445,1.14268554471843e-308","14.1134949534746,0","11.3889679935301,0","28.9908352073694,0","5.86990614268697,1.46475565570675e-124","243.1598296778,2.32351518074828e-199","25.0591262745952,1.90403225395569e-178","56.2086964771634,5.1522796209478e-36","1.66622643770038,0.196795474036417","555.198700119694,0","227.142156188997,9.3711323826124e-51","489.691084023876,2.43995538875686e-203","185.849512952736,6.22134587676922e-42","241.398850694029,5.67515222761202e-198","57.7540452003816,3.24514032518785e-14","6.88557348082037,7.31556873716075e-17","55.4413372775526,9.38045685963193e-296"
"numbldgs","20.1730231059558,1.09104532361667e-187","32.9590805261807,1.64964419033508e-184","22.5871291690135,1.64457560854615e-191","9.05249468630115,2.09038536132098e-194","5.53059515660277,8.18860112649179e-180","15.9854807851611,3.43065875437899e-184","6.91931885150029,9.13684087949249e-158","141.439744824059,1.05476962616673e-117","9.03150690161576,2.1137640695152e-53","9.70994491556695,2.14637968294892e-06","54.622248183927,1.58132410251081e-13","24.8121163877957,2.5236195755527e-51","1384.04096501283,2.52478254891229e-283","549.496238379681,8.4286860710372e-227","34.2694696961168,4.9541121226281e-09","141.725852264071,6.1542635250444e-118","9.08764658148474,0.00258006634139358","31.8110977844689,4.56426918939637e-101","35.0509890063227,5.1828932390387e-185"
"numfloors","70.0990477858254,0","115.197316015247,0","74.9293050554455,0","26.7518263841899,0","15.661537464393,0","55.1552820191193,0","10.2281261624583,5.00950866769737e-263","627.285411780281,0","43.9599805808372,0","20.7814280878891,2.04263202591534e-13","34.22156133615,5.07714485528147e-09","461.110274807206,0","196.193785559891,3.79825858147562e-44","345.665413438859,9.64295954804484e-146","6.84519560281034,0.00890176165877747","621.193280524692,0","0.00126715481140008,0.971604338223751","25.1996726464778,1.52706522687156e-78","123.766319607504,0"
"unitsres","36.164407755126,0","56.441436594828,0","40.9650536277536,0","16.2732949509786,0","12.0364383390723,0","32.2037945488879,0","5.87629995329852,9.22027581609495e-125","307.545710848012,1.69964079964607e-249","23.494240277803,2.61507707168142e-166","7.79849877832033,3.38342367758608e-05","18.5887920968106,1.63772502361858e-05","716.487992235265,0","209.619920377249,5.12723321522974e-47","330.322842493862,1.63530625334137e-139","35.8287205536976,2.23077379127978e-09","305.152495601126,1.18311613611131e-247","0.270530493409708,0.602987994880773","6.18069532767865,1.24752415601946e-14","61.7252275037291,0"
"lotfront","18.9650500253138,3.80769746518972e-175","28.4952293893794,5.51442862542631e-158","20.5100106229705,4.00290928076789e-172","8.36585716948903,1.90646633347039e-175","6.32636972335298,1.35216303274163e-218","15.8074523382214,7.94918771750906e-182","7.13275686638594,1.48424696168756e-164","117.536670813559,4.54259721839892e-98","4.5350456144706,4.11732522395172e-20","61.1826960591976,3.5265054228882e-39","163.39221050535,4.08715413004919e-37","170.925202209738,0","26.4558180171725,2.7489854685406e-07","855.473762072427,0","715.397046920349,3.98411254225437e-152","117.644797185969,3.6991968270551e-98","73.0820203907477,1.4314542178298e-17","21.060587105064,2.03704217921364e-64","28.747688534881,7.72545437039643e-150"
"lotdepth","3.99464014402842,1.37518461590801e-21","5.3441253715835,4.02471366274513e-20","3.75841121230819,1.2459648421884e-17","2.80833177364105,3.79055046041736e-29","2.69715669197096,6.6379598045931e-49","3.28417853819776,2.5734664251468e-19","2.20769982347789,3.45327706784248e-19","19.5314014165438,5.04087570534242e-16","3.65860226499127,3.34225229157809e-14","15.1704083614429,7.58092368855488e-10","56.0426732436871,7.70849999332913e-14","22.1545786707059,2.35108096240126e-45","45.9776636416728,1.26575028295446e-11","88.8618054085955,5.71272029380664e-39","33.2983168510824,8.14731080254888e-09","19.5292786773736,5.06161846078251e-16","4.57180818005481,0.032527134690229","4.0660081366549,3.29348669806206e-08","5.95347758765557,3.90891708581905e-22"
"bldgfront","13.5218913800572,2.85703776723194e-118","18.654433614377,7.29934732844961e-99","15.0363125604474,1.17692608740909e-120","6.80059711023178,2.47088534681576e-132","5.8627113390747,5.59795984144417e-196","11.6959538116283,5.37204604539862e-127","4.59167393552527,5.97459421811746e-85","50.5196696445675,3.71261874757319e-42","6.99886554409062,5.66400511249262e-38","127.50685793183,5.22120762593053e-81","39.6043666485369,3.24423072796362e-10","282.816073298741,0","41.2775220316246,1.38276228560308e-10","394.061440886121,2.84593361448658e-165","411.783191654258,1.07007653342414e-89","50.1966098603047,6.9483027070501e-42","68.9278781430776,1.15762682025041e-16","8.51675556460382,3.93270290141597e-22","20.1626329275941,2.13415030445363e-101"
"bldgdepth","37.0974714720197,0","60.453899530527,0","40.5195249747696,0","15.8449650477124,0","10.0406615236931,0","29.3163400521199,0","9.74176808424764,1.2670608951853e-247","284.129377318616,2.13093140942202e-231","21.7774761070157,6.00263011927497e-153","158.893959198175,1.52390467997738e-100","0.160015161006805,0.689151359985854","451.997349241964,0","354.47262517114,1.0787711306242e-77","1013.10042551067,0","72.3794549142943,2.03812640924375e-17","284.128845898736,2.13295622557115e-231","95.554820717293,1.82593413039255e-22","14.7083175091489,8.3071793417868e-43","60.7216124671339,0"
"assesstot","33.6063569036592,4.94065645841247e-324","56.9854025185157,0","36.9111681548802,6.96632560636158e-322","15.394396592891,0","11.1852706967031,0","31.2938513900767,0","4.3277468777623,5.62433782264097e-77","370.495269484668,2.11476761194642e-297","25.5642283202137,2.34925922560714e-182","124.416398401456,4.47177640517867e-79","0.000313781779683387,0.985867466475588","399.098530074002,0","151.622742509325,1.38707572540572e-34","333.793015450434,6.35371840874526e-141","187.010623134795,3.50905610040616e-42","366.778474449605,1.33052577811117e-294","123.378007802209,1.71089013624073e-28","6.49688581438438,1.25616391790828e-15","62.3215814192708,0"
