cd,schooldist,council,zipcode,firecomp,policeprct,healtharea,sanitboro,sanitsub,zonedist1,spdist1,ltdheight,landuse,ext,proxcode,irrlotcode,lottype,borocode,edesignum,sanitdistrict,healthcenterdistrict,pfirm15_flag
"543760, 0.000499750124937531","220369.716, 0.000499750124937531","272298.55, 0.000499750124937531","409200.359, 0.000499750124937531","468814.811, 0.000499750124937531","534108.317, 0.000499750124937531","303186.219, 0.000499750124937531","38834.509, 0.000499750124937531","24957.286, 0.000499750124937531","1512.753, 0.000499750124937531","5118.456, 0.000499750124937531","1466.412, 0.000499750124937531","4040.611, 0.000499750124937531","1644.017, 0.000499750124937531","3099.624, 0.000499750124937531","343.251, 0.000499750124937531","650.33, 0.00449775112443778","38748.969, 0.000499750124937531","426.512, 0.000499750124937531","163643.371, 0.000499750124937531","214333.21, 0.000499750124937531","3243.61, 0.000499750124937531"
"220369.716, 0.000499750124937531","301010, 0.000499750124937531","173703.32, 0.000499750124937531","237564.588, 0.000499750124937531","263937.853, 0.000499750124937531","236570.955, 0.000499750124937531","165940.835, 0.000499750124937531","38834.508, 0.000499750124937531","20150.593, 0.000499750124937531","1154.925, 0.000499750124937531","2490.795, 0.000499750124937531","606.542, 0.000499750124937531","3430.209, 0.000499750124937531","1525.414, 0.000499750124937531","2841.088, 0.000499750124937531","166.73, 0.000499750124937531","374.186, 0.00499750124937531","38746.855, 0.000499750124937531","439.217, 0.000499750124937531","65565.281, 0.000499750124937531","168974.983, 0.000499750124937531","1275.967, 0.000499750124937531"
"272298.55, 0.000499750124937531","173703.32, 0.000499750124937531","485500, 0.000499750124937531","346333.435, 0.000499750124937531","389471.592, 0.000499750124937531","286853.875, 0.000499750124937531","258344.982, 0.000499750124937531","38101.948, 0.000499750124937531","26929.247, 0.000499750124937531","1565.954, 0.000499750124937531","5159.472, 0.000499750124937531","1362.477, 0.000499750124937531","3964.319, 0.000499750124937531","1661.441, 0.000499750124937531","3020.85, 0.000499750124937531","278.507, 0.000499750124937531","586.761, 0.00449775112443778","38196.695, 0.000499750124937531","431.188, 0.000499750124937531","82149.284, 0.000499750124937531","179119.8, 0.000499750124937531","2094.428, 0.000499750124937531"
"409200.359, 0.000499750124937531","237564.588, 0.000499750124937531","346333.435, 0.000499750124937531","1602150, 0.000499750124937531","1060390.039, 0.000499750124937531","512475.083, 0.000499750124937531","658408.401, 0.000499750124937531","38834.574, 0.000499750124937531","74762.936, 0.000499750124937531","3612.64, 0.000499750124937531","7038.638, 0.000499750124937531","5119.122, 0.000499750124937531","6538.235, 0.000999500249875062","1933.451, 0.000499750124937531","3824.727, 0.000499750124937531","538.388, 0.000499750124937531","1781.173, 0.0179910044977511","38752.902, 0.000499750124937531","916.412, 0.000499750124937531","124789.418, 0.000499750124937531","236077.854, 0.000499750124937531","4654.868, 0.000499750124937531"
"468814.811, 0.000499750124937531","263937.853, 0.000499750124937531","389471.592, 0.000499750124937531","1060390.039, 0.000499750124937531","3155750, 0.000499750124937531","602038.46, 0.000499750124937531","961604.029, 0.000499750124937531","38834.809, 0.000499750124937531","127898.361, 0.000499750124937531","5838.095, 0.000499750124937531","7997.488, 0.000499750124937531","6692.226, 0.000499750124937531","9889.848, 0.000499750124937531","2188.373, 0.000499750124937531","4357.858, 0.000499750124937531","731.375, 0.000499750124937531","3701.262, 0.0079960019990005","38759.893, 0.000499750124937531","1770.428, 0.000499750124937531","140326.124, 0.000499750124937531","252994.975, 0.000499750124937531","5626.643, 0.000499750124937531"
"534108.317, 0.000499750124937531","236570.955, 0.000499750124937531","286853.875, 0.000499750124937531","512475.083, 0.000499750124937531","602038.46, 0.000499750124937531","708830, 0.000499750124937531","358672.429, 0.000499750124937531","38834.509, 0.000499750124937531","36894.947, 0.000499750124937531","1661.94, 0.000499750124937531","4864.021, 0.000499750124937531","2975.381, 0.000499750124937531","4571.047, 0.000499750124937531","1668.621, 0.000499750124937531","3163.711, 0.000499750124937531","382.92, 0.000499750124937531","759.607, 0.0279860069965017","38748.969, 0.000499750124937531","533.404, 0.000499750124937531","158527.606, 0.000499750124937531","225453.249, 0.000499750124937531","3719.04, 0.000499750124937531"
"303186.219, 0.000499750124937531","165940.835, 0.000499750124937531","258344.982, 0.000499750124937531","658408.401, 0.000499750124937531","961604.029, 0.000499750124937531","358672.429, 0.000499750124937531","1893450, 0.000499750124937531","23294.097, 0.000499750124937531","77798.491, 0.000499750124937531","2701.079, 0.000499750124937531","6051.915, 0.000499750124937531","3232.692, 0.000499750124937531","5696.879, 0.000499750124937531","1649.738, 0.000499750124937531","3319.342, 0.000499750124937531","503.85, 0.000499750124937531","2187.389, 0.00699650174912544","23290.654, 0.000499750124937531","419.274, 0.000499750124937531","115103.428, 0.000499750124937531","163514.782, 0.000499750124937531","4776.854, 0.000499750124937531"
"38834.509, 0.000499750124937531","38834.508, 0.000499750124937531","38101.948, 0.000499750124937531","38834.574, 0.000499750124937531","38834.809, 0.000499750124937531","38834.509, 0.000499750124937531","23294.097, 0.000499750124937531","38840, 0.000499750124937531","4033.319, 0.000499750124937531","130.583, 0.000499750124937531","1965.093, 0.000499750124937531","96.593, 0.000499750124937531","1672.009, 0.000499750124937531","1098.092, 0.000499750124937531","1427.931, 0.000499750124937531","99.02, 0.000499750124937531","81.422, 0.000499750124937531","38739.987, 0.000499750124937531","27.373, 0.000499750124937531","8107.68, 0.000499750124937531","38743.922, 0.000499750124937531","79.475, 0.000499750124937531"
"24957.286, 0.000499750124937531","20150.593, 0.000499750124937531","26929.247, 0.000499750124937531","74762.936, 0.000499750124937531","127898.361, 0.000499750124937531","36894.947, 0.000499750124937531","77798.491, 0.000499750124937531","4033.319, 0.000499750124937531","398110, 0.000499750124937531","745.734, 0.000499750124937531","467.682, 0.000499750124937531","344.155, 0.000999500249875062","2255.122, 0.00299850074962519","607.728, 0.000499750124937531","1246.598, 0.000499750124937531","91.916, 0.000499750124937531","302.267, 0.191904047976012","4029.297, 0.000499750124937531","135.716, 0.0204897551224388","7027.887, 0.000499750124937531","16850.257, 0.000499750124937531","307.822, 0.000499750124937531"
"1512.753, 0.000499750124937531","1154.925, 0.000499750124937531","1565.954, 0.000499750124937531","3612.64, 0.000499750124937531","5838.095, 0.000499750124937531","1661.94, 0.000499750124937531","2701.079, 0.000499750124937531","130.583, 0.000499750124937531","745.734, 0.000499750124937531","29130, 0.000499750124937531","363.003, 0.000499750124937531","1.351, 0.72063968015992","3410.88, 0.000499750124937531","100.342, 0.000499750124937531","367.309, 0.000499750124937531","96.483, 0.000499750124937531","155.881, 0.000499750124937531","129.793, 0.000499750124937531","813.728, 0.000499750124937531","395.517, 0.000499750124937531","1290.731, 0.000499750124937531","8.32, 0.04047976011994"
