zipcode,block,lot,cd,schooldist,council,firecomp,policeprct,healtharea,sanitboro,sanitsub,zonedist1,spdist1,ltdheight,landuse,lotarea,bldgarea,numbldgs,numfloors,unitsres,unitstotal,lotfront,lotdepth,bldgfront,bldgdepth,ext,proxcode,irrlotcode,lottype,assesstot,yearbuilt,residfar,commfar,facilfar,borocode,xcoord,ycoord,edesignum,sanitdistrict,healthcenterdistrict,pfirm15_flag,yearalter,income,assessland
11221,1621,22,303,16,36,E214,81,2100,3,4B,R,0,0,2,1800.0,3024.0,1,3.0,3,3,18.0,100.0,18.0,42.0,0,2,N,5,18465.0,1899,2.0,0.0,2.0,3,1003032.0,190794.0,0,3,32,0,1997,64960.03139270796,4121.0
11421,8981,44,409,27,32,L142,102,2500,4,2D,R,0,0,1,2000.0,2000.0,1,2.0,2,2,20.0,100.0,20.0,50.0,0,2,N,5,30816.0,1910,0.6,0.0,1.0,4,1024490.0,189660.0,0,9,45,0,0,90557.81472934684,11712.0
11102,511,14,401,30,22,E262,114,300,4,3C,R,0,0,1,2214.0,1836.0,1,3.0,2,2,18.0,123.0,18.0,34.0,0,2,N,5,33321.0,1940,1.35,0.0,2.0,4,1003709.0,220790.0,0,1,41,0,0,196904.00645485087,8649.0
11414,11425,9,410,27,32,L173,106,3000,4,1C,R,0,0,1,3570.0,2496.0,1,2.0,2,2,35.0,102.0,24.92,52.0,1,2,N,5,33657.0,1960,0.9,0.0,2.0,4,1024267.0,182283.0,0,10,45,1,0,163802.77636527747,8962.0
10461,4000,140,210,11,13,L050,45,1320,2,1E,R,0,0,1,1075.0,1364.0,1,2.0,2,2,43.0,25.0,31.0,22.0,0,1,N,5,21730.0,1910,1.1,0.0,2.0,2,1026425.0,245915.0,0,10,26,0,0,199049.50548185676,7977.0
11218,5073,14,314,17,40,L147,70,5320,3,1B,R,0,0,2,10000.0,28064.0,1,4.0,31,31,100.08,100.0,100.0,85.0,0,2,Y,5,566100.0,1920,3.0,0.0,3.0,3,993113.0,175674.0,0,14,35,0,0,61395.63247372504,113850.0
10312,5523,118,503,31,51,L082,122,920,5,2C,R,1,0,1,5320.0,3200.0,1,2.0,2,2,56.0,95.0,40.0,45.0,0,1,N,5,47232.0,1997,0.6,0.0,1.0,5,938430.0,141320.0,0,3,51,0,0,92743.39509572247,12227.0
11219,5768,8,310,20,43,E284,68,8010,3,4C,R,0,0,6,4000.0,4907.0,1,1.0,0,1,40.0,100.0,26.0,70.0,0,2,N,5,108900.0,1931,2.0,0.0,2.0,3,983481.0,166757.0,0,10,31,0,0,0.0,45000.0
10312,5242,42,503,31,51,L082,122,920,5,3C,R,1,0,1,4410.0,1100.0,1,1.0,1,1,42.0,105.0,26.0,44.0,0,1,N,5,29012.0,1960,0.5,0.0,1.0,5,939520.0,136801.0,0,3,51,0,0,170456.53768808686,12238.0
11234,8463,25,318,22,46,E323,63,8822,3,4E,R,0,0,1,4950.0,2094.0,1,1.0,1,1,49.5,100.0,27.33,36.5,0,1,N,5,39770.0,1950,0.5,0.0,1.0,3,1008593.0,163306.0,0,18,35,1,0,225406.4049017272,12861.0
10305,3500,23,502,31,50,L081,122,910,5,1C,R,0,0,1,3000.0,1290.0,1,2.0,2,2,15.0,200.0,15.0,43.0,0,2,Y,5,19222.0,2004,0.6,0.0,1.0,5,964485.0,152851.0,0,2,51,1,0,64696.650250722676,4263.0
10456,2935,49,203,9,16,L019,42,2700,2,1B,R,0,0,1,2500.0,2076.0,1,2.0,2,2,25.0,100.0,21.0,49.0,1,1,N,5,5971.0,1901,2.43,0.0,4.8,2,1012373.0,242864.0,0,3,22,0,0,131459.34025734547,1656.0
11379,2969,30,405,24,30,L136,104,1822,4,5C,R,0,0,1,1558.0,1741.0,1,2.0,1,1,27.67,87.58,18.0,33.0,1,2,Y,5,31120.0,1940,0.9,0.0,2.0,4,1019000.0,202686.0,0,5,46,0,0,53355.520824319334,11790.0
