"","cd","schooldist","council","zipcode","firecomp","policeprct","healtharea","sanitboro","sanitsub","zonedist1","spdist1","ltdheight","landuse","ext","proxcode","irrlotcode","lottype","borocode","edesignum","sanitdistrict","healthcenterdistrict","pfirm15_flag"
"lotarea","3397.58912981485,0","3.17362781009674,6.18746329714003e-09","2.57145876697967,7.59918852209823e-09","13.9210083460197,0","20.0287757586307,0","101.787080318755,0","42.0320848842033,0","10.2351560766842,2.7662283315041e-08","2.30776170658473,3.01193614566734e-08","51.2711424576562,3.99063146172282e-33","4.64304088616454,0.0311799860942217","0.648673788189705,0.420587458547006","673.976613279233,0","63.6094417693819,1.51885774194512e-15","269.856025958252,6.91897511613312e-118","757.197020422008,1.29293354348347e-166","28.0304068761726,3.36158838795238e-49","9.87181456872665,5.5273212156611e-08","4.18755106254682,0.0407221874103504","6996.64529279029,0","2.33390082181865,4.83369420607187e-06","579.704837746389,4.7989426474876e-128"
"bldgarea","749.342653036625,0","729.904392049079,0","485.961944713116,0","332.698893440814,0","126.569526027897,0","359.632522786007,0","79.9370891354305,0","4695.62081077674,0","188.185092168212,0","4219.94446829237,0","1045.61745362093,3.00657731478765e-229","30.139450321903,4.02182368205153e-08","4228.59961909056,0","2313.38803708495,0","2489.39172048809,0","7289.29783482097,0","1596.53916575564,0","4620.17360379796,0","942.387337496508,7.77395155763465e-207","715.60300160504,0","600.120650878209,0","319.74214369912,1.6988151715718e-71"
"numbldgs","56.3859294557502,0","94.0926413497853,0","67.3146278677303,0","296.217454959541,0","15.9811883393439,0","44.960916462248,0","32.3920485834346,0","426.279638646915,0","160.989500832982,0","76.4988612599686,1.80424929242171e-49","234.931840324335,5.09231805554949e-53","23.6137026502491,1.1776688329363e-06","473.647797022779,0","3934.92552289564,0","1568.97214356889,0","89.9837636818409,2.40705045328415e-21","69.6123482860123,4.76960755300331e-129","424.057710571228,0","48.8335327088951,2.78837551071447e-12","111.152064237858,0","73.0251802384057,0","9.07950504842615,0.00258497574990417"
"numfloors","3922.93762655548,0","7814.92582110742,0","5192.67424710284,0","1559.44021869667,0","982.22655795386,0","3377.3670467302,0","547.33045985819,0","48776.0419939468,0","1517.44197858403,0","18401.4056850426,0","1794.5467783246,0","2689.592961187,0","27112.395763227,0","4297.97333212641,0","3419.68560699514,0","2680.72956715723,0","2553.74944001804,0","48759.9556353935,0","771.696935248913,9.15527980773823e-170","805.158974451176,0","6310.4040758328,0","2813.37299995376,0"
"unitsres","234.321774236194,0","501.505814436211,0","339.180013205376,0","133.946040517752,0","63.1837715138487,0","206.107946897039,0","38.4186722459227,0","3392.48214390451,0","193.900864055696,0","958.227389766231,0","58.0897241687791,2.50687038808191e-14","19.7594989531009,8.78351490191384e-06","8312.62506645481,0","2305.77183778225,0","2583.43011481304,0","4023.75210637548,0","1066.36416705314,0","3398.44127191683,0","320.233528824705,1.32785880617481e-71","75.6307738439192,0","399.047201233408,0","29.318437405487,6.14251145511852e-08"
"unitstotal","201.242186529269,0","435.866217091367,0","288.649942704224,0","109.780110285572,0","54.862974035391,0","179.484158365591,0","33.9696114404068,0","2944.54358757172,0","155.127304035938,0","1219.91482735014,0","138.092003377115,6.99725822025547e-32","14.3309894679398,0.000153330544190152","5657.61333750922,0","1988.26071153768,0","2291.00177953566,0","3504.13341395906,0","962.913895378508,0","2948.02787659933,0","371.988328593159,7.19385339115524e-83","60.3921625793382,0","346.85425627852,0","22.859332232387,1.74329932928586e-06"
"lotfront","618.520028984065,0","391.816708070415,0","281.391769313609,0","145.992673749303,0","76.811838752642,0","200.1611951166,0","78.2964595168936,0","1993.77428887825,0","57.243251733165,0","5473.89898812227,0","2519.09355200938,0","56.241939331226,6.41414700699036e-14","10958.3699128449,0","1958.61152436735,0","19790.4304287197,0","41678.0049175936,0","3417.97569762205,0","1968.74632437789,0","2130.93191337147,0","1092.97868725703,0","323.86704126097,0","6037.39799657601,0"
"lotdepth","313.895395622424,0","98.017506173518,0","66.736960791405,0","59.4399242887283,0","38.0462048265808,0","59.2038566911195,0","33.873409906815,0","527.053004627266,0","35.0884746243746,0","3272.0165469781,0","878.745895774354,5.13590450922263e-193","54.0805998638506,1.92602756558718e-13","4961.92228103551,0","336.846005114135,3.20829153427618e-75","5259.21646040244,0","16878.4777513766,0","1428.67994299285,0","529.662714873169,0","351.166272467071,2.44869329061098e-78","727.683592230436,0","78.1269697758838,0","4134.27570037331,0"
"bldgfront","373.393348008616,0","717.346341395798,0","523.898234813712,0","163.538955026109,0","112.616136766653,0","342.604441338912,0","84.5694824536948,0","3469.72429888703,0","220.976449748081,0","7245.15484831753,0","1096.18165826241,3.17486943139719e-240","14.1303510159668,0.000170580705569291","19682.2445421708,0","2969.3647544002,0","6191.75583146769,0","23420.0349677178,0","4001.75372706505,0","3487.39586996031,0","2820.72666831417,0","175.281822705023,0","599.613978685857,0","4.713401860531,0.029928646549436"
"bldgdepth","844.609551262671,0","1884.51111467512,0","1240.6795196003,0","338.241819766115,0","220.809095084699,0","772.874365639828,0","202.733518784821,0","11164.7187779093,0","534.801076385439,0","8968.65945607464,0","143.414018045332,4.80131453744678e-33","337.446361832252,2.37451662748463e-75","22969.7759600637,0","5853.9249129972,0","6442.64968491622,0","5541.90859191211,0","2349.64280855965,0","11207.7492644558,0","1760.54795581371,0","357.497347624279,0","1470.22194671833,0","587.622177880987,9.12342303890757e-130"
