"","cd","schooldist","council","zipcode","firecomp","policeprct","healtharea","sanitboro","sanitsub","zonedist1","spdist1","ltdheight","landuse","ext","proxcode","irrlotcode","lottype","borocode","edesignum","sanitdistrict","healthcenterdistrict","pfirm15_flag"
"lotarea","0.675056290628876,0.973539873084086","0.580328582000563,0.969557642007276","0.815658777528155,0.820095868230112","1.57511463054821,2.72284431169371e-06","0.792579365070526,0.997985935209925","0.719298824797326,0.967930033641791","1.0518363065863,0.294357989563403","0.968701765345451,0.423267925869211","0.69731398110834,0.942387164036099","1.417165992228,0.235628544599473","5.06959329085055,0.0243721164938271","0.0294138178588015,0.863830732602334","22.217421395222,1.78069878701307e-45","4.17068375634604,0.0411570777606313","16.8509246938226,4.95268723936272e-08","41.9735219231647,9.71620009250397e-11","0.368851656649984,0.920773810803539","0.964875600408241,0.425407468281544","0.047437405220058,0.827588666589601","1.10166498513433,0.344567866567326","0.445912957330367,0.995561702454936","9.86979160075717,0.00168536716530083"
"bldgarea","21.8315715168234,1.96524517797271e-214","22.3101050763171,9.4699513662769e-121","18.8362180290208,3.64495281407022e-156","24.6758807326765,0","11.4523973787426,0","16.1092939372259,4.27512186368551e-190","6.06668772708862,7.45649919402316e-136","121.165492193186,5.60474290529658e-101","5.9484089414309,3.44590495975221e-34","158.946455668794,1.70242967967699e-100","30.6258120890048,3.21314759726526e-08","0.157438494311325,0.691534884253995","84.8103307454149,9.64716440831646e-184","41.9845928220931,9.66158932382164e-11","35.3055720560548,5.30103198501722e-16","150.292023894798,2.73536896161872e-34","43.9144257755753,1.72361831107944e-61","121.213625587464,5.11639530537352e-101","3.34156232212929,0.0675821574184465","3.01052012397185,2.86632129036342e-05","27.5794773163721,4.49704501499431e-143","4.94533757128902,0.0261848281503119"
"numbldgs","4.29398168524687,1.77945610864513e-25","7.2316797223475,1.01898810499357e-30","5.35000327171439,6.11277322880435e-31","2.44029381604327,3.94000234172686e-22","1.87182743087969,1.37475796900719e-19","3.44167094768251,1.49723134948856e-21","2.20970447521094,5.62148991445001e-20","28.1165760228071,2.9920892022891e-23","2.16533039720912,7.09047761107267e-06","5.08776903127345,0.00161369272633695","18.2752220871439,1.93067304117498e-05","0.947945612701078,0.330267858444731","29.2039898921143,3.67851826898706e-61","303.737059699453,5.68708223005977e-67","103.060271647625,5.31826896536604e-45","0.285765515497938,0.592959612480811","6.19833649321611,2.91910714969578e-07","27.9793048375427,3.90602687380629e-23","2.47087791614922,0.116006827413975","7.61544953629957,3.36410945883554e-19","6.83856438683227,8.34631150175435e-27","23.3461508876069,1.37456691309618e-06"
"numfloors","69.6166306424489,0","97.1288677630976,0","72.2783409313784,0","36.2363408949953,0","17.2711144388227,0","52.8540371695874,0","9.38551574932707,4.95883801983182e-245","590.831360725411,0","20.5416996446721,1.70053468321781e-162","257.71598797309,9.9723191474503e-161","26.5262591051994,2.65256123233168e-07","24.9277154863753,6.05908508579038e-07","296.038910915548,0","34.5985221937386,4.19065909700542e-09","35.0166651828875,7.06152037072797e-16","35.284707004506,2.9498368260536e-09","36.2968255773698,1.90418311601341e-50","592.525047094002,0","0.276584980974324,0.598960748521384","13.3700824010214,2.86383479666604e-38","112.550598921085,0","42.5089045369411,7.39839399141034e-11"
"unitsres","8.06326786862294,1.71342673363496e-64","13.4005982786085,3.83829320004341e-67","9.6504896235752,5.93030176655939e-70","4.32712828696995,7.27328174266745e-69","2.79880211448848,3.84101084515858e-56","7.10539745719092,7.89969250770693e-68","2.05560794076172,1.84631958053121e-16","71.7480571908236,5.76861500341223e-60","5.2466395420617,2.09538438072867e-28","14.2102169944122,3.08694948136604e-09","0.00227701044569491,0.961941979036791","1.22111486016512,0.269170287463512","343.591830796524,0","59.6591935037304,1.24344102635104e-14","67.8124397580027,5.7561927862297e-30","94.9127635101396,2.53758989397198e-22","16.6351853408284,5.84145301074275e-22","71.7694609896855,5.53550080091128e-60","0.0701414734052123,0.791136720071016","4.27691545908507,8.01876146316001e-09","13.9272398752281,4.83272057029195e-66","4.54115500264822,0.0331151631028221"
"unitstotal","9.19770547439454,9.76777947693065e-77","15.5031275479521,8.89014987294867e-80","10.687224853886,1.26500632908856e-79","4.46753949524556,1.20371244960957e-72","3.1280821642484,5.81868083558368e-71","7.88043265294262,3.42479439552408e-78","2.14295993212776,1.98459737381535e-18","86.4801142178087,2.88566939958111e-72","5.65526332645165,9.30471575718594e-32","32.6903989242533,5.18127475433396e-21","0.507756313666785,0.476129454414894","0.944346712532095,0.331187513591442","302.698894430649,0","73.132512806971,1.40222157057908e-17","84.4651155068484,4.39946063087303e-37","139.375085671714,6.13047727048727e-32","23.6454096694542,4.35628635104827e-32","86.5791277679545,2.38659950561287e-72","0.0299335037121349,0.862644926039665","3.91237046485442,9.1546578941001e-08","16.4420190609018,3.04983288609109e-80","1.64942535603163,0.199068849507556"
"lotfront","6.7463570220432,1.79513648994105e-50","8.89638388280864,2.25296693284008e-40","6.75453471926047,2.23962150508006e-43","3.97473167604189,1.69133660995762e-59","2.8831314201675,7.13310247753804e-60","5.66087135562163,7.30870880638904e-49","2.07736923003715,6.0562424393325e-17","43.1890135521824,5.76932826087598e-36","1.92707004781,0.000147757275014649","91.7806616494452,1.54012159632962e-58","109.303424704079,1.92042030793261e-25","0.311007066340567,0.577076161375462","180.169380523397,0","33.4985564981728,7.36041360357974e-09","372.971500242095,1.36133078438314e-156","708.894707789297,1.23495622599872e-150","72.0599249760626,5.49725480120923e-102","42.6270143857548,1.71784859142836e-35","26.9237603229689,2.16062427720713e-07","5.53045702355339,1.33079126282085e-12","9.90348864087546,1.60395210740852e-43","62.9077539211337,2.41375610119683e-15"
"lotdepth","3.89331880776184,1.2159622749505e-21","1.50368005541493,0.0358936388372773","1.40110105242118,0.0325323820316219","2.27473572306848,1.18746754784532e-18","1.76620912485697,3.46412318928305e-16","1.7169064269985,0.000122713884384141","1.26985172521891,0.00600650605649121","6.31495774367804,4.52560550363897e-05","1.71068614374609,0.00179292173224218","43.5910684807778,5.74722222558522e-28","31.5039221843048,2.04694104875241e-08","0.165161800832759,0.684457222269172","43.7305723317059,1.10320568263242e-93","5.28141881844447,0.0215760501641032","65.2107020928877,7.48633002472819e-29","238.735369385822,3.34204792249861e-53","17.6368163892787,2.11272216530202e-23","5.88080031560504,0.000100761650042022","6.68274336792477,0.00975000498756693","1.50760893999062,0.0817693201018961","1.483638276246,0.0456372106529923","42.4210289211945,7.73680757722542e-11"
"bldgfront","8.42723567950454,2.08329527797717e-68","12.1002023068795,2.34328321884754e-59","10.146723748109,1.41396348627356e-74","4.5077479873759,9.84333053342969e-74","3.51867043036699,2.88083377667495e-89","7.09138251893958,1.21352232351177e-67","2.67172797528573,1.51664628389318e-31","61.3546069746038,2.97959864294671e-51","5.50255608792987,1.68616104960941e-30","131.507758434053,1.87894443707898e-83","13.3732465195773,0.000256634729284343","0.0420135265665761,0.83759843353501","382.830336905317,0","33.4773750745215,7.44072116446305e-09","93.9336650424331,4.05456656424666e-41","365.492252661727,5.85834255739895e-80","92.9680329137565,1.15143959670308e-131","61.6882476719998,1.56329564680697e-51","12.6903179031811,0.000369375312777157","2.6433087772295,0.000255057629260881","13.4617154294288,2.02427745716837e-63","1.38900280039364,0.238603442416614"
"bldgdepth","23.6914707749943,2.21753291696369e-234","41.1410199440217,5.34606627847568e-232","27.2919746438626,1.86588189982156e-234","10.5202787798999,4.07486277925845e-244","7.11080273547436,2.72769996623226e-270","18.9808603912383,8.44701958595166e-229","6.40832495093995,4.85543741713603e-147","241.937679204482,4.37319617099636e-198","16.8801893844229,4.32979598456912e-130","193.223848093361,1.35148094183472e-121","0.0748787711333551,0.784367420571065","6.18764679616466,0.0128817363129156","537.924814870907,0","104.946307341058,1.6882431775386e-24","115.463115404071,2.89607170516264e-50","84.6959186952626,4.22606176820221e-20","60.2260661084841,4.98218691332841e-85","244.188554931197,7.46205609294485e-200","11.6902044737685,0.000630971209455216","9.35562968638111,7.08679068305228e-25","42.2522781806018,3.28830581898794e-224","28.5861158391966,9.1727317442615e-08"
"assesstot","25.295259808021,1.79825898417663e-251","25.9460856519025,1.54710589696944e-142","25.6437228414131,2.38750579041012e-219","25.6974703597385,0","11.4333264636672,0","20.1088335013856,6.97548573312564e-244","6.85473061757664,1.04554529453521e-161","128.354074249722,6.97454557186743e-107","4.98049185762579,3.00996426922018e-26","168.883658302247,1.23667306066116e-106","44.2626004603748,3.03183323238452e-11","0.153163043032765,0.695539664124887","53.6469948883842,1.02754110216556e-115","22.5518501378344,2.07576583689433e-06","11.599129911649,9.30626773029515e-06","92.4315500146501,8.77943301542558e-22","35.678985265663,1.50067183618592e-49","128.115806172475,1.09392340771176e-106","1.84907791583855,0.173923328228909","3.21161619731177,8.29419844935563e-06","33.2029036961784,1.90223281657508e-174","3.57922369631174,0.0585372289384913"
"yearbuilt","4.23174361533364,7.12152301876089e-25","5.4890506546953,6.55429717327592e-21","3.33648194667578,2.50565921829174e-14","2.75657669424689,3.54505045531738e-29","2.73197296987241,3.20578024304185e-53","3.94354173134907,2.05419048261034e-27","2.19463266402796,1.26625635007331e-19","17.4518481719239,2.81591924839026e-14","1.82171650936756,0.000515676038898595","57.3126155389809,1.04762897434431e-36","30.6058809455845,3.24621664308822e-08","0.0140861102491036,0.905527523168655","6122.63139380293,0","300.584360644104,2.63223453420745e-66","1457.77602620978,0","157.824991210148,6.56666463463108e-36","104.188558105855,1.94485799315901e-147","17.2020037037566,4.56037719858836e-14","73.1291082646857,1.40462368915822e-17","5.80808290443699,1.8360568773365e-13","5.47124649557427,1.27114999092638e-19","178.455019602699,2.45755621077286e-40"
"residfar","243.679572113637,0","364.638786792291,0","236.429359559683,0","96.4152627798971,0","59.6066412996488,0","188.96411711114,0","30.2668366438114,0","1803.25569219175,0","118.845175379712,0","751.01417197134,0","48.1922180084596,4.12027015079713e-12","52.4488882732044,4.7633748279827e-13","271.195319577152,0","419.808594587234,2.61714594729444e-91","527.751895311321,6.22077237661768e-218","20.4334724612396,6.24963621265954e-06","15.8762203613053,7.19701554396939e-21","1810.60658602033,0","283.996252402874,8.42380798371458e-63","57.3400693550863,2.12254679964228e-186","395.145405641192,0","66.6893875289187,3.58860250181947e-16"
"commfar","141.331742843717,0","116.587244713548,0","91.4645886448486,0","62.1290832077239,0","36.1214165293259,0","98.1798438957251,0","17.9085705428787,0","454.281064205902,0","29.4715674902827,2.4941549130738e-240","4415.20812120568,0","306.941596738001,1.19883044123192e-67","1.11150258393394,0.291782682389418","178.782128365723,0","99.4166718498471,2.67091968679698e-23","99.8639280652773,1.21493834918739e-43","195.608246652246,5.23773635639106e-44","39.9056564822252,1.10938816698402e-55","453.083272173867,0","232.99428784001,5.56204728642094e-52","14.7596638277613,5.83632817285414e-43","140.031084399677,0","0.245408063174404,0.62033871736306"
"facilfar","274.704229095378,0","437.453507507425,0","258.528721122129,0","118.203114804159,0","70.1853299045683,0","227.032753022666,0","40.4715334542221,0","1885.56763927136,0","150.842836677221,0","722.091138058465,0","3.93301652790937,0.047376031690265","77.7977042246587,1.34546995015257e-18","254.03113678836,0","479.4962185913,1.05127653225101e-103","667.989975277596,5.8480225962562e-272","32.1466151895121,1.47193073070614e-08","22.0318752954689,9.46591957907316e-30","1890.1723757038,0","201.693661479615,2.62205935537231e-45","79.5972326774702,1.52099192414442e-258","406.196213420429,0","53.8075958085713,2.39444340329454e-13"
"yearalter","26.7412914922173,8.62711056463786e-267","47.970210305823,3.22968703206305e-271","30.8762138752393,5.11325778495016e-267","11.0857763918715,3.64614456954167e-260","6.39334736437427,1.12648730181468e-233","21.9329395528187,0","4.39181700787196,4.7510046976087e-82","329.550694997603,8.2298071318875e-266","13.7307332549131,4.11205647872422e-102","87.2173548339644,1.16663390552869e-55","10.1863643797352,0.00141949041896084","37.3384057443185,1.03257718006362e-09","84.5584267283949,3.36097076936527e-183","16.9911084804574,3.78782831128188e-05","13.5108895147557,1.38268633075895e-06","22.5562296491098,2.07105045879586e-06","10.7624103150864,1.39704780479e-13","329.559530504968,8.10346065180921e-266","33.7136991075054,6.59232425492594e-09","7.81823078276806,7.44100080596891e-20","52.415778324442,6.26641904942635e-279","0.238958939694239,0.624970454264816"
