cd,schooldist,council,zipcode,firecomp,policeprct,healtharea,sanitboro,sanitsub,zonedist1,spdist1,ltdheight,landuse,ext,proxcode,irrlotcode,lottype,borocode,edesignum,sanitdistrict,healthcenterdistrict,pfirm15_flag
"554069, 0.000499750124937531","212879.318, 0.000499750124937531","262943.379, 0.000499750124937531","400014.39, 0.000499750124937531","465330.074, 0.000499750124937531","517854.586, 0.000499750124937531","293799.38, 0.000499750124937531","37564, 0.000499750124937531","26391.285, 0.000499750124937531","3164.502, 0.000499750124937531","4416.253, 0.000499750124937531","1112.803, 0.000499750124937531","4725.061, 0.000499750124937531","1502.383, 0.000499750124937531","2641.355, 0.000499750124937531","387.771, 0.000499750124937531","1199.492, 0.000499750124937531","37534.825, 0.000499750124937531","419.935, 0.000499750124937531","158440.457, 0.000499750124937531","203935.662, 0.000499750124937531","2872.862, 0.000499750124937531"
"212879.318, 0.000499750124937531","291121, 0.000499750124937531","160557.803, 0.000499750124937531","228393.441, 0.000499750124937531","254315.094, 0.000499750124937531","226440.122, 0.000499750124937531","157026.512, 0.000499750124937531","37541.216, 0.000499750124937531","18758.472, 0.000499750124937531","2388.844, 0.000499750124937531","2092.75, 0.000499750124937531","408.175, 0.000499750124937531","3638.306, 0.000499750124937531","1373.731, 0.000499750124937531","2373.734, 0.000499750124937531","235.76, 0.000499750124937531","569.594, 0.000499750124937531","37534.451, 0.000499750124937531","286.683, 0.000499750124937531","62258.386, 0.000499750124937531","160287, 0.000499750124937531","1151.812, 0.000499750124937531"
"262943.379, 0.000499750124937531","160557.803, 0.000499750124937531","469550, 0.000499750124937531","333767.916, 0.000499750124937531","374201.685, 0.000499750124937531","272443.12, 0.000499750124937531","245730.347, 0.000499750124937531","36857.598, 0.000499750124937531","26477.97, 0.000499750124937531","2953.524, 0.000499750124937531","4287.096, 0.000499750124937531","732.445, 0.000499750124937531","4436.42, 0.000499750124937531","1460.877, 0.000499750124937531","2603.234, 0.000499750124937531","318.741, 0.000499750124937531","864.525, 0.000499750124937531","36908.891, 0.000499750124937531","269.615, 0.000499750124937531","78645.137, 0.000499750124937531","169553.99, 0.000499750124937531","1904.267, 0.000499750124937531"
"400014.39, 0.000499750124937531","228393.441, 0.000499750124937531","333767.916, 0.000499750124937531","1624643, 0.000499750124937531","1062268.69, 0.000499750124937531","500445.408, 0.000499750124937531","621754.348, 0.000499750124937531","37535.929, 0.000499750124937531","81963.031, 0.000499750124937531","5163.907, 0.000499750124937531","5952.684, 0.000499750124937531","4442.8, 0.000499750124937531","7435.842, 0.000499750124937531","1837.641, 0.000499750124937531","3349.732, 0.000499750124937531","640.209, 0.000499750124937531","3569.025, 0.000499750124937531","37529.74, 0.000499750124937531","906.79, 0.000499750124937531","119520.857, 0.000499750124937531","227131.564, 0.000499750124937531","4017.346, 0.000499750124937531"
"465330.074, 0.000499750124937531","254315.094, 0.000499750124937531","374201.685, 0.000499750124937531","1062268.69, 0.000499750124937531","3258677, 0.000499750124937531","590459.678, 0.000499750124937531","939290.422, 0.000499750124937531","37541.606, 0.000499750124937531","144819.759, 0.000499750124937531","7894.931, 0.000499750124937531","6802.654, 0.000499750124937531","5527.675, 0.000499750124937531","11783.84, 0.000499750124937531","2158.192, 0.000499750124937531","4019.55, 0.000499750124937531","938.689, 0.000499750124937531","5287.785, 0.000499750124937531","37537.217, 0.000499750124937531","1708.792, 0.000499750124937531","135757.769, 0.000499750124937531","242585.374, 0.000499750124937531","4933.743, 0.000499750124937531"
"517854.586, 0.000499750124937531","226440.122, 0.000499750124937531","272443.12, 0.000499750124937531","500445.408, 0.000499750124937531","590459.678, 0.000499750124937531","704325, 0.000499750124937531","342632.223, 0.000499750124937531","37541.26, 0.000499750124937531","38362.203, 0.000499750124937531","3258.464, 0.000499750124937531","4222.835, 0.000499750124937531","2261.422, 0.000499750124937531","5102.946, 0.000499750124937531","1547.08, 0.000499750124937531","2726.923, 0.000499750124937531","413.268, 0.000499750124937531","1345.806, 0.000499750124937531","37534.825, 0.000499750124937531","560.634, 0.000499750124937531","152600.748, 0.000499750124937531","211773.149, 0.000499750124937531","3204.632, 0.000499750124937531"
"293799.38, 0.000499750124937531","157026.512, 0.000499750124937531","245730.347, 0.000499750124937531","621754.348, 0.000499750124937531","939290.422, 0.000499750124937531","342632.223, 0.000499750124937531","1915764, 0.000499750124937531","23115.19, 0.000499750124937531","77359.757, 0.000499750124937531","3365.85, 0.000499750124937531","4972.676, 0.000499750124937531","2523.97, 0.000499750124937531","6279.641, 0.000499750124937531","1608.467, 0.000499750124937531","2769.298, 0.000499750124937531","536.617, 0.000499750124937531","2226.801, 0.000499750124937531","23124.297, 0.000499750124937531","936.294, 0.000499750124937531","107852.094, 0.000499750124937531","160124.365, 0.000499750124937531","3874.221, 0.000499750124937531"
"37564, 0.000499750124937531","37541.216, 0.000499750124937531","36857.598, 0.000499750124937531","37535.929, 0.000499750124937531","37541.606, 0.000499750124937531","37541.26, 0.000499750124937531","23115.19, 0.000499750124937531","37564, 0.000499750124937531","4649.235, 0.000499750124937531","1030.621, 0.000499750124937531","1630.393, 0.000499750124937531","64.999, 0.000499750124937531","1857.17, 0.000499750124937531","981.024, 0.000499750124937531","1211.17, 0.000499750124937531","156.084, 0.000499750124937531","178.623, 0.000499750124937531","37511.48, 0.000499750124937531","73.482, 0.000499750124937531","7590.19, 0.000499750124937531","37512.073, 0.000499750124937531","62.637, 0.000499750124937531"
"26391.285, 0.000499750124937531","18758.472, 0.000499750124937531","26477.97, 0.000499750124937531","81963.031, 0.000499750124937531","144819.759, 0.000499750124937531","38362.203, 0.000499750124937531","77359.757, 0.000499750124937531","4649.235, 0.000499750124937531","441377, 0.000499750124937531","1342.951, 0.000499750124937531","367.095, 0.000499750124937531","223.237, 0.0179910044977511","2507.066, 0.000499750124937531","660.789, 0.000499750124937531","1088.813, 0.000499750124937531","98.769, 0.000499750124937531","465.598, 0.11344327836082","4665.31, 0.000499750124937531","158.702, 0.00849575212393803","6925.718, 0.000499750124937531","15979.905, 0.000499750124937531","274.218, 0.000499750124937531"
"3164.502, 0.000499750124937531","2388.844, 0.000499750124937531","2953.524, 0.000499750124937531","5163.907, 0.000499750124937531","7894.931, 0.000499750124937531","3258.464, 0.000499750124937531","3365.85, 0.000499750124937531","1030.621, 0.000499750124937531","1342.951, 0.000499750124937531","28173, 0.000499750124937531","439.118, 0.000499750124937531","2.2, 0.441779110444778","3953.861, 0.000499750124937531","179.288, 0.000499750124937531","532.343, 0.000499750124937531","258.707, 0.000499750124937531","387.884, 0.000499750124937531","1026.915, 0.000499750124937531","571.519, 0.000499750124937531","422.876, 0.000499750124937531","2551.419, 0.000499750124937531","27.407, 0.000499750124937531"
