block,lot,cd,schooldist,council,zipcode,firecomp,policeprct,healtharea,sanitboro,sanitsub,zonedist1,spdist1,ltdheight,landuse,lotarea,bldgarea,numbldgs,numfloors,unitsres,unitstotal,lotfront,lotdepth,bldgfront,bldgdepth,ext,proxcode,irrlotcode,lottype,assesstot,yearbuilt,residfar,commfar,facilfar,borocode,edesignum,sanitdistrict,healthcenterdistrict,pfirm15_flag,yearalter,assessland
5383,20,210,8,13,10461,L050,45,1420,2,3E,R,0,0,1,2375.0,1682.0,2,2.0,2,2,25.0,95.0,19.0,36.0,1,1,N,5,24790.0,1920,0.9,0.0,2.0,2,0,10,26,0,0,7272.0
4087,62,502,31,50,10306,E165,122,920,5,2D,R,0,0,1,4680.0,948.0,1,1.0,1,1,40.0,117.0,26.0,35.0,0,1,N,5,18362.0,1925,0.6,0.0,1.0,5,0,2,51,1,0,6726.0
2320,9,402,30,26,11377,E292,108,920,4,1E,R,0,0,1,3000.0,2709.0,1,2.0,2,2,30.0,100.0,21.0,43.0,0,2,N,5,44308.0,1950,1.25,0.0,2.0,4,0,2,41,0,0,13124.0
1867,52,109,3,7,10025,E047,26,1800,1,1B,R,0,0,3,6728.0,28188.0,1,6.0,24,24,66.67,100.92,67.0,84.0,0,2,N,5,2011500.0,1925,6.02,0.0,6.5,1,0,9,16,0,1985,450000.0
7097,4,311,21,47,11223,L161,62,8610,3,6C,R,0,0,6,7200.0,4200.0,1,1.0,0,1,80.0,90.0,60.0,70.0,0,0,N,5,207450.0,1931,1.35,0.0,2.0,3,0,11,37,0,0,97200.0
4037,121,305,19,42,11208,L107,75,6200,3,3E,R,0,0,1,1800.0,1132.0,1,2.0,1,1,18.0,100.0,18.0,31.42,0,2,N,5,16062.0,1990,1.25,0.0,2.0,3,0,5,33,0,0,5204.0
6282,4,311,20,43,11228,L149,62,8200,3,3C,R,0,0,2,2683.0,2124.0,2,2.0,3,3,26.83,100.0,18.5,59.0,0,2,N,5,45451.0,1930,0.9,0.0,2.0,3,0,11,31,0,0,10519.0
7199,54,408,26,24,11366,L152,107,2130,4,1E,R,0,0,1,4000.0,1346.0,2,2.0,1,1,40.0,100.0,27.0,24.0,1,1,N,5,43712.0,1940,0.5,0.0,1.0,4,0,8,43,0,0,13778.0
5474,64,312,21,44,11204,E247,66,7110,3,4D,R,0,0,1,2404.0,2280.0,2,2.0,2,2,24.0,100.17,19.5,60.0,1,2,N,5,40474.0,1925,1.25,0.0,2.0,3,0,12,35,0,0,13460.0
598,8,306,15,38,11231,L101,76,4100,3,1D,M,0,0,2,1710.0,2394.0,1,3.0,3,3,19.0,90.0,19.0,42.0,0,2,N,5,17931.0,1910,0.0,1.0,2.4,3,0,6,38,1,0,3187.0
13481,37,413,29,31,11413,E311,105,3620,4,8D,R,0,0,1,2550.0,1800.0,1,2.0,2,2,30.0,85.0,20.0,45.0,0,1,N,5,26902.0,2003,0.6,0.0,1.0,4,0,13,44,0,0,6750.0
6398,8,407,25,24,11367,E299,109,2012,4,2C,R,0,0,1,6000.0,1495.0,1,2.5,1,1,60.0,100.0,23.0,26.0,1,1,N,5,40488.0,1940,0.5,0.0,1.0,4,0,7,43,0,0,10895.0
2000,169,502,31,50,10314,L086,121,100,5,4C,R,0,0,1,2106.0,2042.0,1,2.0,1,1,17.33,121.5,17.0,47.0,0,2,N,5,27572.0,2014,0.6,0.0,1.0,5,0,2,51,0,0,4411.0
