block,lot,cd,schooldist,council,zipcode,firecomp,policeprct,healtharea,sanitboro,sanitsub,zonedist1,spdist1,ltdheight,landuse,lotarea,bldgarea,numbldgs,numfloors,unitsres,unitstotal,lotfront,lotdepth,bldgfront,bldgdepth,ext,proxcode,irrlotcode,lottype,assessland,assesstot,yearbuilt,residfar,commfar,facilfar,borocode,xcoord,ycoord,edesignum,sanitdistrict,healthcenterdistrict,pfirm15_flag,yearalter
12226,7,412,27,28,11434,L133,113,3400,4,5C,R,0,0,1,1950,896,1,2,1,1,19.5,100,14,28,1,1,N,5,8185,15675,1925,0.6,0,1,4,1042946,188026,0,12,44,0,0
3933,16,407,25,19,11356,E297,109,210,4,5D,R,0,0,1,2000,1480,1,2,1,1,20,100,20,42,1,2,N,5,5308,25495,1950,0.9,0,2,4,1025415,227183,0,7,43,1,0
12067,58,412,27,28,11436,E302,113,3612,4,6C,R,0,0,1,2726,1920,1,2,2,2,29,94,20,43,0,2,N,5,9370,25550,1960,0.6,0,1,4,1041047,183955,0,12,45,0,0
5524,77,311,20,44,11204,E247,62,8110,3,1E,M,0,0,6,6000,5120,1,1,0,1,60,100,40,100,1,2,N,5,65700,180900,1931,0,1,2.4,3,986378,166438,0,11,31,0,1963
2672,1,203,12,17,10456,E050,42,3500,2,1A,R,0,0,8,107800,146590,1,4,0,1,404.75,265.08,260,70,1,0,Y,1,697500,13476150,1974,2.43,0,4.8,2,1011890,241102,0,3,22,0,0
4000,10,210,11,13,10461,L050,45,1320,2,1E,R,0,0,2,2184,2760,1,2,3,3,22.42,97.42,20,50,0,1,N,5,6593,26374,1910,1.1,0,2,2,1026224,245852,0,10,26,0,0
8428,31,318,22,46,11234,E323,63,8822,3,4C,R,0,0,2,2983,2997,1,2,3,3,29.83,100,21.33,60,0,2,N,5,12129,39639,1975,1.25,0,2,3,1009519,164468,0,18,35,0,0
3436,150,209,8,18,10473,E096,43,3030,2,4C,R,0,0,1,1467,2400,1,0,2,2,19.83,73.98,19,42,0,2,N,0,4365,26402,2014,0.6,0,1,2,1025731,233214,0,9,26,0,0
1250,22,107,3,6,10024,E074,24,3120,1,3B,R,0,0,2,2013,6380,1,4,10,10,20,100.67,20,100,1,2,N,5,94766,380578,1900,6.02,0,6.5,1,990443,227367,0,7,16,0,0
9470,29,409,28,28,11419,Q270,102,3210,4,4E,R,0,0,1,1890,1792,1,2,2,2,21,90,16,52,0,2,N,5,13740,27984,1930,0.9,0,2,4,1034285,191952,0,9,45,0,0
504,70,501,31,49,10301,L077,120,500,5,1D,R,0,0,1,1688,1550,1,3,1,1,15,100,14,42,0,2,Y,5,5100,16500,2001,0.6,0,1,5,963008,170431,0,1,51,0,0
3158,82,406,28,29,11374,L151,112,1940,4,2D,R,0,0,1,2000,2442,2,2.67,1,1,20,100,18,36,1,2,N,5,5313,28603,1945,0.9,0,2,4,1024494,203779,0,6,46,0,0
1563,12,404,24,21,11373,E289,110,1420,4,2D,R,0,0,1,2500,2480,1,2,2,2,25,100,20,62,0,1,N,5,13181,34836,1910,1.25,0,2,4,1019484,211678,0,4,42,0,0
7439,62,315,22,48,11235,E246,61,8721,3,3D,R,0,0,1,1600,1636,1,2,1,1,16,100,16,35,1,2,N,5,4809,27204,1950,0.9,0,2,3,997747,153995,0,15,37,1,0
