zipcode,block,lot,cd,schooldist,council,firecomp,policeprct,healtharea,sanitboro,sanitsub,zonedist1,spdist1,ltdheight,landuse,lotarea,bldgarea,numbldgs,numfloors,unitsres,unitstotal,lotfront,lotdepth,bldgfront,bldgdepth,ext,proxcode,irrlotcode,lottype,assesstot,yearbuilt,residfar,commfar,facilfar,borocode,xcoord,ycoord,edesignum,sanitdistrict,healthcenterdistrict,pfirm15_flag,yearalter,income,assessland
11226,5148,22,314,22,40,L147,70,7210,3,1A,R,0,0,1,5000.0,2682.0,2,2.5,1,1,50.0,100.0,28.0,43.0,1,1,N,5,38816.0,1899,0.6,0.0,1.0,3,994743.0,173625.0,0,14,35,0,0,52483.141810196044,17505.0
10309,6794,21,503,31,51,E151,123,800,5,7D,R,1,0,1,4911.0,2440.0,1,2.0,1,1,48.28,100.0,33.0,40.0,0,1,Y,5,43857.0,2000,0.6,0.0,1.0,5,925457.0,128669.0,0,3,51,0,0,121124.33611668652,11266.0
10312,5655,15,503,31,51,E167,123,800,5,5E,R,1,0,1,2629.0,1345.0,1,2.0,2,2,43.0,60.0,27.0,25.0,0,1,N,5,31824.0,2003,0.6,0.0,1.0,5,935275.0,144362.0,0,3,51,0,0,339846.2699411867,8592.0
11413,13468,37,413,29,31,E311,105,3620,4,8D,R,0,0,1,5000.0,1125.0,1,1.0,1,1,50.0,100.0,25.0,45.0,0,1,N,3,23976.0,1950,0.6,0.0,1.0,4,1051222.0,181017.0,0,13,44,0,0,389995.07721778116,7623.0
11434,12334,267,412,28,27,L133,113,3400,4,5D,R,0,0,1,2858.0,1230.0,1,2.0,2,2,30.0,95.25,18.0,28.0,1,1,N,5,21273.0,1930,0.6,0.0,1.0,4,1045481.0,190951.0,0,12,44,0,0,126819.50462376824,10514.0
11234,8500,20,318,22,46,E309,63,8821,3,7D,R,0,0,1,1800.0,938.0,1,2.0,1,1,18.0,100.0,14.0,30.0,0,2,N,5,21365.0,1930,0.9,0.0,2.0,3,1002577.0,161199.0,0,18,35,0,0,175396.30393200967,4307.0
11219,5745,25,310,20,38,E284,68,8020,3,4C,R,0,0,2,2717.0,3198.0,1,2.0,4,4,27.17,100.0,20.5,78.0,0,0,N,5,87846.0,1924,1.35,0.0,2.0,3,983088.0,168181.0,0,10,31,0,0,317625.66957213683,35356.0
10309,7066,2,503,31,51,E168,123,800,5,6C,R,1,0,1,2496.0,1235.0,1,2.0,1,1,24.0,104.0,15.0,40.0,0,2,N,5,27797.0,2005,0.6,0.0,1.0,5,925185.0,140690.0,0,3,51,0,0,94821.60634824463,5023.0
11385,3732,30,405,24,30,E286,104,2400,4,4C,R,0,0,1,2700.0,3120.0,2,2.0,2,2,27.0,100.0,20.0,45.0,1,2,N,5,30854.0,1910,1.25,0.0,2.0,4,1013372.0,192405.0,0,5,46,0,0,84228.13501629676,14255.0
11420,11669,35,410,27,28,L126,106,3220,4,3E,R,0,0,1,4000.0,1311.0,2,1.5,2,2,40.0,100.0,22.0,45.0,1,1,N,5,24408.0,1945,0.6,0.0,1.0,4,1036095.0,186029.0,0,10,45,0,0,77507.1563832117,7810.0
11373,1851,12,404,24,25,E289,110,1420,4,2E,R,0,0,2,2102.0,3391.0,1,3.0,3,3,21.0,100.08,21.0,57.0,1,2,N,5,47623.0,1973,1.25,0.0,2.0,4,1019639.0,209432.0,0,4,42,0,0,374293.58880528813,15029.0
11433,10221,16,412,29,27,E275,103,3510,4,3D,R,0,0,2,1624.0,1816.0,1,2.0,3,3,21.58,84.25,17.0,62.0,0,2,Y,5,17434.0,1920,2.0,0.0,2.0,4,1042457.0,195282.0,0,12,44,0,0,76474.34629118253,9211.0
11216,1832,66,303,13,36,E235,79,2800,3,2B,R,0,0,1,2000.0,4400.0,1,3.0,2,2,20.0,100.0,20.0,55.0,0,2,N,5,60133.0,1905,2.0,0.0,2.0,3,997761.0,187977.0,0,3,32,0,0,213345.95228271515,9442.0
11434,13309,29,413,29,31,L155,105,3612,4,8E,R,0,0,1,2727.0,1720.0,1,2.0,2,2,22.0,73.32,22.0,39.0,0,2,Y,5,26635.0,2004,0.6,0.0,1.0,4,1048282.0,181403.0,0,13,45,0,0,203514.81923600155,4590.0
10312,5653,123,503,31,51,E167,123,800,5,5E,R,1,0,1,1200.0,1480.0,1,3.0,1,1,20.0,40.0,20.0,28.0,1,2,N,5,18579.0,1989,0.6,0.0,1.0,5,936253.0,143777.0,0,3,51,0,0,128916.94281120574,3480.0
11207,4057,17,305,19,42,L103,75,6100,3,4D,R,0,0,1,2312.0,2360.0,1,2.0,2,2,24.33,95.0,20.0,56.0,0,2,N,5,19938.0,1901,2.43,0.0,4.8,3,1014829.0,182702.0,0,5,33,0,0,30309.879523365216,6094.0
11234,8505,13,318,22,46,E309,63,8821,3,7C,R,0,0,1,2000.0,1376.0,2,2.0,1,1,20.0,100.0,16.0,43.0,0,2,N,5,29692.0,1930,0.6,0.0,1.0,3,1003655.0,161972.0,0,18,35,0,0,148318.53496977873,7356.0
11354,4816,42,407,25,19,L144,109,1310,4,7E,R,0,0,1,4800.0,1708.0,2,2.5,1,1,48.0,100.0,20.0,30.0,1,1,N,3,40309.0,1930,0.5,0.0,1.0,4,1035197.0,220013.0,0,7,43,0,0,69651.58884121286,11395.0
11233,1504,44,303,16,41,E222,81,3100,3,5B,R,0,0,2,2000.0,3600.0,1,3.0,3,3,20.0,100.0,20.0,60.0,0,2,N,5,24598.0,1899,1.35,0.0,2.0,3,1006393.0,187923.0,0,3,34,0,0,39020.18550658431,5529.0
11201,391,21,302,15,33,E224,84,2400,3,2A,R,0,0,2,2750.0,6600.0,1,4.0,8,8,27.5,100.0,28.0,58.0,0,2,N,5,90980.0,1900,2.0,0.0,2.0,3,987021.0,189019.0,0,2,38,0,1990,296538.28306911764,744.0
11237,3292,9,304,32,37,E271,83,3300,3,2B,R,0,0,4,2400.0,5200.0,2,3.0,5,6,26.67,90.0,26.67,65.0,0,0,N,3,81617.0,1931,2.43,0.0,4.8,3,1007862.0,195692.0,0,4,34,0,0,124226.33968527205,1382.0
11230,6707,58,314,21,44,L156,70,7310,3,4D,R,0,0,1,2500.0,2528.0,1,2.0,2,2,25.0,100.0,20.0,65.0,0,1,N,5,42192.0,1925,1.25,0.0,2.0,3,994758.0,167232.0,0,14,35,0,0,167923.81626354714,14463.0
11220,801,34,307,15,38,E201,72,6500,3,3E,R,0,0,1,2003.0,2168.0,1,2.0,2,2,20.0,100.17,20.0,55.0,0,2,N,5,26126.0,1905,2.0,0.0,2.0,3,982265.0,173176.0,0,7,39,0,0,50849.29273825185,10409.0
10461,4130,14,211,11,13,Q061,49,1220,2,1D,R,0,0,1,2500.0,1758.0,1,2.0,1,1,25.0,100.0,18.0,47.0,1,1,N,5,25344.0,1920,0.9,0.0,2.0,2,1024537.0,249290.0,0,11,26,0,0,93582.63277822088,6688.0
11236,4747,13,317,18,45,E310,67,7510,3,3E,R,0,0,1,3000.0,1928.0,1,1.0,2,2,30.0,100.0,22.0,47.83,1,2,N,5,26707.0,1940,1.25,0.0,2.0,3,1006795.0,175609.0,0,17,33,0,0,201278.4407335663,8780.0
11365,6919,9,408,25,24,L152,107,2021,4,4C,R,0,0,1,4800.0,1512.0,1,1.67,1,1,48.0,100.0,26.5,42.0,0,1,N,5,38478.0,1950,0.5,0.0,1.0,4,1038659.0,206514.0,0,8,43,0,0,103723.42492399996,14093.0
11218,5589,7501,312,15,39,E282,66,6900,3,3D,R,0,0,2,2410.0,5835.0,1,0.0,4,4,0.0,0.0,0.0,0.0,0,0,N,0,98426.0,1920,2.43,0.0,4.8,3,987286.0,172849.0,0,12,39,0,0,23406.071651704693,22056.0
11228,5983,12,310,20,43,E284,68,7910,3,4E,R,0,0,8,2500.0,2560.0,2,2.0,0,1,25.0,100.0,20.0,68.0,0,2,N,5,259650.0,1930,0.9,0.0,2.0,3,979051.0,166302.0,0,10,31,0,2008,0.0,88200.0
11358,5461,22,407,25,20,E274,109,1320,4,4E,R,0,0,1,2158.0,920.0,1,2.5,1,1,26.0,83.0,18.0,24.0,0,1,N,5,24364.0,1920,0.9,0.0,2.0,4,1038342.0,213620.0,0,7,43,0,0,366729.5764212776,7472.0
11361,6151,45,411,26,19,E320,111,2110,4,1D,R,0,0,1,3000.0,1862.0,1,2.5,2,2,30.0,100.0,19.0,36.0,0,1,N,5,36187.0,1935,0.6,0.0,1.0,4,1044077.0,217707.0,0,11,43,0,0,176121.69076259626,8895.0
10301,837,301,502,31,50,E160,122,600,5,3D,R,1,0,1,4000.0,1576.0,0,0.0,1,1,0.0,0.0,0.0,0.0,0,2,N,5,32100.0,1920,0.6,0.0,1.0,5,956125.0,160853.0,0,2,51,0,0,58678.472980276056,6180.0
11357,4514,3,407,25,19,E295,109,221,4,6C,R,0,0,1,5000.0,2490.0,2,2.0,2,2,50.0,100.0,36.0,24.0,1,1,N,5,40075.0,1915,0.5,0.0,1.0,4,1035456.0,228161.0,0,7,43,0,0,106497.26311463982,11640.0
10306,3571,6,502,31,50,E159,122,910,5,2E,R,0,0,1,4000.0,1194.0,1,1.0,1,1,40.0,100.0,25.0,33.0,0,1,N,3,22213.0,1935,0.6,0.0,1.0,5,955407.0,150936.0,0,2,51,1,0,154330.25385286962,9859.0
11428,10629,48,413,29,23,E301,105,2910,4,3C,R,0,0,1,2500.0,1280.0,2,2.5,2,2,25.0,100.0,16.0,36.0,1,1,N,5,26043.0,1930,0.5,0.0,1.0,4,1055324.0,201841.0,0,13,44,0,0,90007.70195744015,12665.0
11354,4833,44,407,25,19,L144,109,222,4,7E,R,0,0,1,4200.0,1708.0,2,2.5,1,1,40.0,105.0,28.0,29.0,1,1,N,5,41920.0,1940,0.5,0.0,1.0,4,1036819.0,220956.0,0,7,43,0,0,94423.46847336821,16374.0
10308,5494,268,503,31,51,L082,122,920,5,2C,R,1,0,1,2716.0,1332.0,1,2.0,1,1,28.0,97.0,18.0,37.0,0,2,N,5,25128.0,1970,0.6,0.0,1.0,5,938896.0,142704.0,0,3,51,0,0,80930.8794021921,7478.0
11423,10367,41,412,29,27,L150,103,3510,4,2E,R,0,0,1,2500.0,1184.0,1,2.0,1,1,25.0,100.0,18.0,37.0,1,1,N,5,16920.0,1925,0.6,0.0,1.0,4,1048385.0,196858.0,0,12,44,0,0,148674.089255306,6835.0
