,scores,support
lotarea,17836956269.376575,True
bldgarea,2993662801.205942,True
numbldgs,10469.315648754624,True
numfloors,14270.421315009537,True
unitsres,757231.1705265355,True
unitstotal,785176.331739769,True
lotfront,633325.8763686031,True
lotdepth,233548.77548485695,True
bldgfront,275638.87412367406,True
bldgdepth,138201.7089916517,True
yearbuilt,753453.2448147351,True
residfar,10843.780687023152,True
commfar,52749.35462914605,True
facilfar,9684.81754653734,True
yearalter,14513640.861133957,True
assessland,345215498633.69037,True
cd_101,9097.794117647125,False
cd_102,9251.622807017422,False
cd_103,9102.529629629553,False
cd_104,8677.171171171034,False
cd_105,9359.999999999978,False
cd_106,9204.483333333237,False
cd_107,9049.531249999882,False
cd_108,8996.43989071051,False
cd_109,7077.216475096038,False
cd_110,8153.970862470989,False
cd_111,7607.696078431142,False
cd_112,8276.77614858251,False
cd_201,6917.132458698003,False
cd_202,6071.917088294205,False
cd_203,5337.810176651207,False
cd_204,6814.58494838461,False
cd_205,6144.370157244988,False
cd_206,6297.375603503233,False
cd_207,5642.121370426588,False
cd_208,6349.523295984759,False
cd_209,5063.289348099901,False
cd_210,5347.910368328889,False
cd_211,4521.00527963986,False
cd_212,4956.935499620353,False
cd_301,6117.3271797677835,False
cd_302,7367.550874485426,False
cd_303,5983.574712094518,False
cd_304,6020.930859640743,False
cd_305,5116.777409391556,False
cd_306,5952.409013600991,False
cd_307,4733.49308207276,False
cd_308,5428.130414710173,False
cd_309,5201.312735424953,False
cd_310,4864.295241607938,False
cd_311,4054.51202523233,False
cd_312,5220.991075718477,False
cd_313,5517.715446022211,False
cd_314,4901.224787616422,False
cd_315,4906.378591839587,False
cd_316,5792.448078402851,False
cd_317,4299.830474246295,False
cd_318,4948.63401780843,False
cd_401,4826.548946233359,False
cd_402,5123.4487513443355,False
cd_403,4365.140028914536,False
cd_404,5092.540583100985,False
cd_405,4352.128565438477,False
cd_406,5132.4320636738385,False
cd_407,4829.050671500547,False
cd_408,4845.830953110878,False
cd_409,3481.977546050717,False
cd_410,4427.8313422343235,False
cd_411,4794.469634481209,False
cd_412,4817.671961097422,False
cd_413,4108.812932433239,False
cd_414,6188.618373906639,False
cd_480,9390.000000000102,True
cd_501,5331.604539555548,False
cd_502,5227.335379070747,False
cd_503,5323.54233716538,False
schooldist_1,9168.28282828273,False
