"","block","lot","cd","schooldist","council","zipcode","firecomp","policeprct","healtharea","sanitboro","sanitsub","zonedist1","spdist1","ltdheight","landuse","ownertype","lotarea","bldgarea","resarea","numbldgs","numfloors","unitsres","unitstotal","lotfront","lotdepth","bldgfront","bldgdepth","ext","proxcode","irrlotcode","lottype","assessland","assesstot","yearbuilt","borocode","xcoord","ycoord","edesignum","sanitdistrict","healthcenterdistrict","pfirm15_flag","last_modif"
"1",5641,670,"10",12,13,NA,"",25,95,2," ","","0","0","7","",53758,0,2001,0,0,0,0,516,219,0,0,"0","0","Y","5",59400,59400,1920,2,1044510,246734,"0","12","17","1",0
"3",4205,41,"11",11,13,NA,"Q061",49,1410,2,"2E","R4","0","0","11","",2369,0,2001,0,0,0,0,25.01,95.06,0,0,"0","0","Y","5",5361,5361,1920,2,1026345,249922,"0","11","26","0",0
"4",2402,14,"01",7,17,NA,"L055",40,3900,2,"1B","R6","0","0","10","",3750,0,2001,0,0,0,0,37.5,100,0,0,"0","0","N","5",67500,81000,1920,2,1007336,238351,"0","1","23","0",0
"6",14246,1206,"10",27,32,NA,"L173",106,3611,4,"4E","R3A","1","0","11","",1600,0,1600,0,0,0,0,20,80,0,0,"0","0","N","5",1641,1641,1920,4,1031765,177320,"0","10","45","1",0
"17",7577,112,"03",31,51,NA,"L076",123,800,5,"8E","R3X","1","0","11","",6600,0,1500,0,0,0,0,60,110,0,0,"0","0","Y","5",8476,8476,1920,5,920242,129658,"0","3","51","0",0
"22",5227,35,"03",31,51,NA,"E162",122,920,5,"3D","R3A","1","0","11","C",3800,0,1500,0,0,0,0,40,95,0,0,"0","0","N","5",4934,4934,1920,5,940786,138448,"0","3","51","0",0
"25",151,190,"01",31,49,NA,"L079",120,300,5,"2E","R3X","0","0","11","",775,0,1500,0,0,0,0,50,15,0,0,"0","0","N","5",535,535,1920,5,953712,171044,"0","1","51","0",0
"26",1753,132,"03",13,33,NA,"L102",79,1410,3,"1A","M1-2","0","0","0","",400,0,2064,1,0,0,0,20,20,0,0,"0","0","N","5",2250,4950,1920,3,997325,192311,"0","3","36","0",0
"35",4791,82,"03",31,50,NA,"E165",122,920,5,"1D","R3X","1","0","11","C",1380,0,1500,0,0,0,0,21,60,0,0,"0","0","Y","5",120,120,1920,5,952917,140135,"0","3","51","1",0
"46",5607,200,"10",10,13,NA,"",31,95,2," ","","0","0","11","C",519475,0,2001,0,0,0,0,1000,495,0,0,"0","0","Y","5",70200,70200,1920,2,1032840,234424,"0","1","23","1",0
