zipcode,block,lot,cd,schooldist,council,firecomp,policeprct,healtharea,sanitboro,sanitsub,zonedist1,spdist1,ltdheight,landuse,ownertype,lotarea,bldgarea,resarea,numbldgs,numfloors,unitsres,unitstotal,lotfront,lotdepth,bldgfront,bldgdepth,ext,proxcode,irrlotcode,lottype,assessland,assesstot,yearbuilt,borocode,xcoord,ycoord,edesignum,sanitdistrict,healthcenterdistrict,pfirm15_flag,last_modif
11436,11994.0,7.0,12.0,27.0,28.0,L126,113.0,3300.0,4.0,4C,R5D,0.0,0.0,10.0,,2080.0,0.0,1600.0,0.0,0.0,0.0,0.0,21.34,100.21,0.0,0.0,0.0,0.0,Y,5.0,43200.0,43200.0,1920.0,4.0,1041696.0,188560.0,0.0,12.0,44.0,0.0,0.0
11436,11994.0,5.0,12.0,27.0,28.0,L126,113.0,3300.0,4.0,4C,R5D,0.0,0.0,10.0,,4763.0,0.0,1600.0,0.0,0.0,0.0,0.0,41.14,116.21,0.0,0.0,0.0,0.0,Y,5.0,97650.0,97650.0,1920.0,4.0,1041690.0,188590.0,0.0,12.0,44.0,0.0,0.0
11436,11994.0,3.0,12.0,27.0,28.0,L126,113.0,3300.0,4.0,4C,R5D,0.0,0.0,10.0,,4760.0,0.0,1600.0,0.0,0.0,0.0,0.0,40.0,116.21,0.0,0.0,0.0,0.0,Y,5.0,97650.0,97650.0,1920.0,4.0,1041679.0,188628.0,0.0,12.0,44.0,0.0,0.0
11436,12037.0,119.0,12.0,27.0,28.0,L126,113.0,3220.0,4.0,6C,R3A,0.0,0.0,11.0,,13888.0,0.0,1600.0,0.0,0.0,0.0,0.0,121.1,75.0,0.0,0.0,0.0,0.0,Y,6.0,5073.0,5073.0,1920.0,4.0,1040415.0,185584.0,0.0,12.0,45.0,0.0,0.0
11436,12035.0,24.0,12.0,27.0,28.0,L126,113.0,3220.0,4.0,6C,R3A,0.0,0.0,11.0,C,2000.0,0.0,1600.0,0.0,0.0,0.0,0.0,20.0,100.0,0.0,0.0,0.0,0.0,N,5.0,2232.0,2232.0,1920.0,4.0,1040119.0,185679.0,0.0,12.0,45.0,0.0,0.0
11436,12043.0,123.0,12.0,27.0,28.0,L126,113.0,3300.0,4.0,6C,R3A,0.0,0.0,11.0,,2000.0,0.0,1600.0,0.0,0.0,0.0,0.0,20.0,100.0,0.0,0.0,0.0,0.0,N,5.0,2232.0,2232.0,1920.0,4.0,1041651.0,185690.0,0.0,12.0,44.0,0.0,0.0
11436,12012.0,1.0,12.0,27.0,28.0,L126,113.0,3220.0,4.0,6C,R3A,0.0,0.0,11.0,,1000.0,0.0,1600.0,1.0,0.0,0.0,0.0,10.0,100.0,0.0,0.0,0.0,0.0,N,8.0,600.0,600.0,1920.0,4.0,1039509.0,185694.0,0.0,12.0,45.0,0.0,0.0
11436,12035.0,23.0,12.0,27.0,28.0,L126,113.0,3220.0,4.0,6C,R3A,0.0,0.0,11.0,C,1058.0,0.0,1600.0,0.0,0.0,0.0,0.0,10.58,100.0,0.0,0.0,0.0,0.0,N,3.0,1334.0,1334.0,1920.0,4.0,1040117.0,185695.0,0.0,12.0,45.0,0.0,0.0
11436,12044.0,75.0,12.0,27.0,28.0,L126,113.0,3300.0,4.0,6C,R3A,0.0,0.0,11.0,,2000.0,0.0,1600.0,0.0,0.0,0.0,0.0,20.0,100.0,0.0,0.0,0.0,0.0,N,5.0,2686.0,2686.0,1920.0,4.0,1041916.0,185720.0,0.0,12.0,44.0,0.0,0.0
11436,12013.0,13.0,12.0,27.0,28.0,L126,113.0,3220.0,4.0,6C,R3A,0.0,0.0,11.0,,2500.0,0.0,1600.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,0.0,0.0,0.0,N,5.0,2791.0,2791.0,1920.0,4.0,1039724.0,185955.0,0.0,12.0,45.0,0.0,0.0
